xRot	yRot	zRot	xAcc	yAcc	zAcc	status	seqnum	temp
1.86084491816e-07	1.10877486748e-07	7.6441665442e-08	-0.00187395163812	0.000985115533695	1.0004529953	True	25	28	
-6.59608456743e-09	4.26558095512e-08	8.88941045218e-08	0.0017689774977	0.00245281122625	1.00536489487	True	26	28	
1.39069996408e-07	-5.55461667773e-08	1.67147362617e-07	0.000160623574629	0.00222133775242	1.00280499458	True	27	28	
9.913387089e-08	9.5049557558e-08	8.76187158383e-08	-0.00434914510697	0.0016203467967	0.996724784374	True	28	28	
-1.20054195918e-07	-1.29326849674e-07	3.54480675924e-08	-0.00602106703445	0.00212384131737	0.998903751373	True	29	28	
-3.54654119405e-08	-4.20171408777e-09	7.1389727907e-08	-0.00404023611918	0.00225111516193	0.999795377254	True	30	28	
-3.22962563359e-08	2.72347744357e-08	2.01868616045e-07	-0.0020734986756	-0.000909810943995	0.999470055103	True	31	28	
-8.57774384855e-09	-4.57717419522e-08	8.7949992178e-08	0.00180923729204	0.00110239943024	1.00294625759	True	32	28	
-9.35197519425e-08	5.06109181231e-08	-5.8016308202e-08	0.00289763370529	-0.00122332526371	0.997448205948	True	33	28	
5.90403352874e-08	1.46720736893e-07	1.25057937339e-07	-0.00319939781912	-0.00127982464619	0.997441768646	True	34	28	
8.3095493153e-08	4.19144079444e-08	9.98640814487e-08	0.00157294794917	0.00313119543716	1.00029015541	True	35	28	
6.37587476149e-08	-1.01458589086e-07	8.75502621511e-08	-0.000124575424707	0.000700572156347	0.99997150898	True	36	28	
2.3232081503e-07	-7.40060031035e-08	1.82299629614e-07	-0.00257641170174	0.000262316258159	0.998071372509	True	37	28	
2.11148734053e-08	1.02534706059e-07	7.48729078737e-08	-0.00402238685638	-0.000460530660348	0.998155355453	True	38	28	
-1.13051903838e-07	-1.0625980984e-08	2.08411083946e-08	-0.000752888270654	-0.00208244565874	1.00358390808	True	39	28	
4.61845210964e-08	6.60013483866e-08	-3.11143821818e-08	-0.00142454798333	0.000532576814294	0.998120486736	True	40	28	
3.17697356422e-07	4.90244822515e-08	1.13327793372e-07	-0.00581328617409	0.00187215360347	0.997614324093	True	41	28	
1.19494485418e-08	-1.73180652041e-08	1.51962410655e-07	-0.00557923177257	0.000402858277084	1.0015733242	True	42	28	
-1.41787879215e-07	2.89448269797e-08	1.11736085273e-07	-0.00246918504126	0.00122903008014	0.997619509697	True	43	28	
3.47453905647e-08	-4.30418758413e-08	6.88368970714e-08	-0.00324478070252	-0.00120492838323	0.998334050179	True	44	28	
1.0723085353e-07	-1.64660090007e-08	8.11486771113e-08	-0.00293185235932	-0.0018304589903	0.999271154404	True	45	28	
1.15608891349e-07	-6.78200891002e-08	2.92147306347e-10	-0.00334954960272	-0.00271491054446	0.997910559177	True	46	28	
-1.22180701112e-08	2.20957989683e-08	5.6657231795e-08	-0.00284175900742	-0.00192776939366	0.995209217072	True	47	28	
5.42681490856e-08	2.38253701212e-08	6.79774814216e-08	-0.00188352493569	-0.000102995916677	0.995965301991	True	48	28	
1.24696242665e-07	-9.79280514457e-08	8.77261143728e-08	-0.00153210386634	-0.000373604067136	1.00115096569	True	49	28	
9.25440986066e-08	4.92506373462e-08	2.48912414236e-07	-0.00244121300057	0.0034381269943	0.999086916447	True	50	28	
1.22413425174e-07	7.91121621546e-08	4.27278727955e-08	-0.00490678427741	-0.00203793682158	0.998497068882	True	51	28	
8.42070093654e-08	4.2047403781e-08	1.9469223389e-07	-0.00501546636224	0.000591832911596	0.997083246708	True	52	28	
-1.02374730915e-09	1.08821938127e-08	1.53188565832e-07	-0.00049780739937	0.000578681589104	1.00003373623	True	53	28	
2.98283246991e-08	1.51218728206e-07	6.85686103452e-08	-0.0051479684189	-0.00150709983427	0.999343276024	True	54	28	
-3.86621756832e-08	-3.34670566815e-08	2.07997572943e-07	0.00163268530741	0.00121481018141	0.997012019157	True	55	28	
3.09321990244e-08	-4.09373903665e-08	1.04305087234e-07	0.00183381116949	-0.000792707840446	0.997647821903	True	56	28	
3.28245119974e-09	1.79025605007e-07	2.39286038095e-07	-0.0033063062001	0.00100553059019	1.00043308735	True	57	28	
1.32071926728e-08	-4.44137135958e-08	6.67067752147e-08	-0.00208050338551	0.0017099728575	0.996695876122	True	58	28	
2.64562434182e-08	-1.33679776582e-07	1.43083429549e-08	-0.00198009447195	-0.000549592310563	0.999955534935	True	59	28	
